链接,赞,转发,评论,时间,内容概要
http://m.weibo.com/2460997447/EiTcW4pQe,29745,582,1155,11月23日 17:01 来自被抛弃的iPhone,画风突变的papitube#假人挑战#！最近全国各地开启速冻模式，冷风也吹进了我们的办公室，一瞬间大家都懵逼了，但一回头所有人迷の凹起了造型！真是一场时尚时尚最时尚办公室的小冒险啊~~[二哈papitube的秒拍视频
http://m.weibo.com/2460997447/EiLLTDBnU,80629,1842,4027,11月22日 22:05 来自熊本熊的iPhone,和小咪的合照之——熊本熊的脸，每一次细看，都有一种直击心灵的感受。
http://m.weibo.com/2460997447/EiKdmbYjx,17257,2539,1161,11月22日 18:07 来自冷到关机的iPhone,眼线可以修饰眼睛的形状，一个自然的美瞳线可以让眼妆更加干净清透，也会更加有神哦~今天我就告诉大家，怎么根据自己眼睛的特点画一个【让人眼前一亮的美瞳线】[奥特曼「关注并转发这条微博我抽三个粉丝送美宝莲唇露」上周没抽到的宝宝这周加油啊~一周后抽[二哈[春楠LI的秒拍视频
http://m.weibo.com/2460997447/EiAFUv7Eq,106489,26172,20297,11月21日 17:50 来自刚退烧的iPhone,papi酱的周一放送——身体不好是一种怎样的体验？希望你们永远都不会有这样的体验。相信我，这个世界上没有比健康更重要的事。（这周全国大降温啦，大家都要注意身体啊！（祝你们周一&一周健康快乐！（来自一个刚刚退烧的我🙃️papi酱的秒拍视频
http://m.weibo.com/2460997447/EhR4xlxyn,292594,7693,20077,11月16日 21:44 来自痛心的iPhone,大咪，我好不容易回家了，你这是什么表情？？你不想我吗？？？
http://m.weibo.com/2460997447/EhPJRq1kK,31024,9611,8721,11月16日 18:21 来自祝你们幸福iPhone,很多人说，异地恋就是有对象的单身狗？是呀，谁喜欢异地恋呢？可我喜欢你啊！今天有四年异地经历的@ACui阿崔 学姐来给你们分享下，异地恋应该如何持续保鲜！我们都是打不死的异地恋啊！！papitube的秒拍视频
http://m.weibo.com/2460997447/EhOYB3HYt,84522,231,2894,11月16日 16:24 来自被世界遗弃iPhone,为什么大家不能对深夜工作的阿姨（少女）多一些关爱！放下手机时我多么信任大家，31个人，30个红包！只有我！只有我！！没抢到！！我恨这个世界。🙃
http://m.weibo.com/2460997447/EhwLg9qvb,127805,21792,16890,11月14日 18:02 来自没有手拿的iPhone,papi酱的周一放送——各位盆友们，上周五的双十一，你过得还好吗？[微笑告诉我，是谁成就了天猫？是谁成就了阿里巴巴？是谁成就了马云？？姆们！姆们！！姆们！！！（双十一已经过去了，双十二还会远吗？可是我的手怎么不见了[泪（祝你们吃土的周一&一周愉快！（本期视频看到最后的都是真爱惹，比三 全文
http://m.weibo.com/2460997447/EhdvnqeP3,33037,3689,3071,11月12日 17:01 来自微博活动,papi酱不定期更新的日常——“我喜欢你”的N种表达方式！光棍节前强势助攻一波！我只能帮大家到这里了！我喜欢大家的表达方式~那当然是——转发抽奖咯！转发微博的同时附上——你的，“我喜欢你”的表达方式，就可能获得大大大礼品（周末愉快～我喜欢乃萌！[心papi酱的秒拍视频
http://m.weibo.com/2460997447/Eh5UD2Wz2,24547,1973,1087,11月11日 21:41 来自买买买买买iPhone,双十一这个小婊砸，你真的懂吗？@张猫要练嘴皮子 资深男婶讲解，相关推荐、满减凑单、领券包邮，全都是套路啊！！为奋战在一线的物流战士致敬！不过…快递能不能先送我的啊！！[笑cry张猫要练嘴皮子的秒拍视频
http://m.weibo.com/2460997447/Eh4Pjtc0b,57355,3821,3559,11月11日 18:55 来自嘲讽的iPhone,明天就是11.11单身节了！还没有对象的朋友你们有困扰吗？心灵鸡汤教主 @PAPI酱 有话想说！哈哈哈灵魂都得到了升华啊[哆啦A梦吃惊[哆啦A梦吃惊~~papitube的秒拍视频
http://m.weibo.com/2460997447/Eh4ym8GnT,16770,53,448,11月11日 18:13 来自专发广告的iPhone,双十一终极狂欢，最后6小时！全店满199返200 ，真返，不玩虚的，年度最低折扣！扫荡就一次，皮肤水润一年不吃土！想和红人界清流Papi酱一样直面所有近镜头？速速点这里 ！MG美即新缤纷水漾肌密面膜套装20片 转季补水保湿 护肤品 快把萌熊礼盒抱回家~@papi酱
http://m.weibo.com/2460997447/EgXqW01Gz,213311,1621,13472,11月11日 00:06 来自iPhone 7 Plus,啊啊啊啊啊啊啊气死我了！！！气死我了！！！！啊啊啊啊啊啊啊啊！！！！！
http://m.weibo.com/2460997447/EgLBow1Q8,31871,4443,3490,11月09日 17:59 来自吃嘛嘛香的iPhone,#张猫歪说电影# 法医秦明断案记！放心看！我都打好马赛克了！#麦芽的香气# #网剧法医秦明# 张猫要练嘴皮子的秒拍视频
http://m.weibo.com/2460997447/EgLeM6U5X,23593,203,976,11月09日 17:03 来自发广告用的iPhone,#papi酱直播#小丽要放放放大料啦！11月9号22点——23点，papi酱将与gogoboi、ayawawa共同现身天猫直播啦！[嘻嘻宇宙第一才华美貌遇上全球最in时尚、互联网最懂爱的情感作家，将要碰撞出怎样的火花？都是要晒出他们的双十一剁手清单吗？哈哈，小丽我要坐等直播！直播链接:http://t.cn/RfhTkEr @天猫 全文
http://m.weibo.com/2460997447/EgsGN6hCv,188034,72851,43529,11月07日 17:50 来自微博 weibo.com,papi酱的周一放送——如果把网络用语（粉圈用语为主）运用到现实生活中，会有什么意想不到的效果？前方高能，非战斗人员迅速撤离，这不是演习！因为本视频里的话你很有可能一句都听不懂！（听不懂也不要问我，我也不懂！[摊手（祝你们周一&一周愉快啦啦啦！比心[心papi酱的秒拍视频
http://m.weibo.com/2460997447/Eg9TWsK9G,32983,4720,4300,11月05日 18:00 来自肥而不腻的iPhone,一碗可以穿越回童年的红烧肉便当！妈妈拿手的一道菜， @言食舍 能让你回忆起眼保健操、弹球、圣斗士星矢……80后的我已经泪奔了！！[笑cry[笑crypapitube的秒拍视频
http://m.weibo.com/2460997447/Eg0ppoYU1,214523,312707,131365,11月04日 17:50 来自微博 weibo.com,papi酱不定期更新的日常——“我喜欢你”的N种表达方式！光棍节前强势助攻一波！我只能帮大家到这里了！我喜欢大家的表达方式~那当然是——转发抽奖咯！转发微博的同时附上——你的，“我喜欢你”的表达方式，就可能获得大大大礼品（周末愉快～我喜欢乃萌！[心papi酱的秒拍视频
http://m.weibo.com/2460997447/EfHFZvcb3,35801,7345,5301,11月02日 18:09 来自iPhone 6s,如果准备驾考笔试的时候就觉得欲哭无泪的话，那只能说哭的太早了[笑cry。进入下一阶段你会发现，真正汹涌澎湃的磨难来自于实车操练。在这个环节我们基本会确认一件事儿——“我是全世界最笨的人”。别问我为什么知道的这么清楚…[二哈[二哈金戈话铁马的秒拍视频
http://m.weibo.com/2460997447/EfF5Iq0pC,21819,170,721,11月02日 11:34 来自微博 weibo.com,10.22日姜思达@Daghe 一起来了一场别开生面的#美即面膜，不敷不行#的直播，没看的可以点这里PAPI酱 姜思达#美即面膜，不敷不行#天猫直播，马上又到了双十一，希望各位一定要买的物（mei）超（ji）所（mian）值（mo）剁的开心 ！MG美即新缤纷水漾肌密面膜套装20片 转季补水保湿 护肤品 #美妆爆款#http://t.cn/RVB6QIw
http://m.weibo.com/2460997447/Ef6hlasDQ,35722,3187,1745,10月29日 18:56 来自iPhone 6s,万圣节快到了！大家看看我是什么鬼样子！特效化妆师@赖赖是Zoe 教你化出吓SHI人的万圣节妆容[二哈[二哈papitube的秒拍视频
http://m.weibo.com/2460997447/EeWtSCUpy,199742,29462,21329,10月28日 18:00 来自微博weibo.com,papi酱不定期更新的日常——你们有没有发现，很多人对中国人和外国人的标准，完！全！不！一！样！请各位拒做双标狗！一视同仁[微笑（周末愉快噜～（比心[心 papi酱的秒拍视频
http://m.weibo.com/2460997447/EeDFw4GQE,32950,11768,3261,10月26日 18:06 来自iPhone 6s,你还在画大平眉？@春楠  教你3种大热的眉型画法~~让自己的眉毛更美更生动！总有一款适合你！[喵喵papitube的秒拍视频
http://m.weibo.com/2460997447/EekLVlAtV,335380,179854,130961,10月24日 18:00 来自微博 weibo.com,papi酱的周一放送——所谓爱豆，那就是心灵的支柱，是前进的方向，是成长的楷模啊，是人生的灯塔，是照亮我生命的光啊！！！有个爱豆真是太好了！！！（祝爱豆周一&一周愉快！（给爱豆比心心[心papi酱的秒拍视频
http://m.weibo.com/2460997447/Ee253zpli,40118,4520,8066,10月22日 18:25 来自iPhone 6s,重温那些年全是套路的五大偶像剧里，@ACui阿崔 总结霸道男主帅气出场的必备要素！告诉我，当年你爱的是单均昊还是慕容云海。[dogepapitube的秒拍视频
http://m.weibo.com/2460997447/EdSqtwHzs,478595,124655,63007,10月21日 17:50 来自微博 weibo.com,papi酱不定期更新的日常——网络是我的保护色，键盘是我的武器，我就是正义的化身，键盘侠！你要加入我的队伍吗？（希望所有的键盘侠都可以原地爆炸（周末愉快啦~~比心[心~~papi酱的秒拍视频
http://m.weibo.com/2460997447/EdzGn6oH6,41676,8295,5341,10月19日 18:07 来自微博 weibo.com,加拼音的双语字幕、硬广植入、过气冷段子！让 @在下杨舒惠 来带领你吐槽这部雷的很爽的剧《超星星学园》！有~~毒~~~啊papitube的秒拍视频
http://m.weibo.com/2460997447/EdgIsmVxE,199381,32822,23380,10月17日 17:50 来自微博 weibo.com,papi酱的周一放送——又是一个全新的周一！又可以开始工作了！！老板，我爱工作！我爱加班！工作就是我的全部！（祝你们周一&一周工作愉快！！比心[心papi酱的秒拍视频
http://m.weibo.com/2460997447/Ed8zNCx9t,26247,2239,1227,10月16日 21:07 来自微博 weibo.com,秋风起，食腊味，人变肥…… @美豆爱厨房 给你带来秋天最深切问候的腊味煲仔饭！真的连锅巴都能吃得干干净净！！[抱抱papitube的秒拍视频
http://m.weibo.com/2460997447/EcOuZcRCr,117843,11347,13090,10月14日 18:00 来自微博 weibo.com,papi酱不定期更新的日常——亲爱的朋友们！经过7天连续上班上学，你是否已经疲劳不堪、心力交瘁了？！在这7天时间中，你是否觉得自己患上了节后综合症？！今天，有着足足三个月临床经验的、专治各种疑难杂症的pa大夫，来为广大病友送福音啦！！（pa大夫祝各位患者朋友周末愉快，比心[心 全文
http://m.weibo.com/2460997447/EcvPTBnqN,36117,8976,6766,10月12日 18:29 来自iPhone 6s,让男票陪自己练车多幸福……个毛线啊！@金戈话铁马 女司机练车 转弯不打灯，油门当刹车，停车忘熄火！结果就是 在车上被男票各种臭骂！祝天下女司机都能安全上路！秒拍视频
http://m.weibo.com/2460997447/EccMWxMM2,139175,16304,16908,10月10日 18:00 来自微博 weibo.com,papi酱的周一放送——朋友们，大家还记得张总么？你们想他吗！！他很想你们啊！！今天张总来教我们写、剧、本！！（本视频内所有观点与我本人无关，有事儿请找张总（张总祝大家周一&一周快乐（张总比心[心秒拍视频
http://m.weibo.com/2460997447/EbrWC6O0r,45360,2022,2571,10月05日 18:44 来自iPhone 6s,生活在大城市的旁友们，一定不会忘记每天早晚高峰挤地铁的那份酸爽！ 身体扭成S型不说，旁边的大叔还有狐臭！@在下杨舒惠 友情提示千万别在地铁看小说……别问她怎么知道[哆啦A梦微笑[哆啦A梦微笑秒拍视频
http://m.weibo.com/2460997447/Eb8NqdrVj,192042,29260,27785,10月03日 18:00 来自微博 weibo.com,papi酱的周一放送——十一长假免不了要和朋友聚会吧？朋友聚会免不了要喝几顿吧？不喝吗？没关系，我劝劝你你就喝了[微笑（祝各位周一&一周愉快啦（不用上班上学当然愉快了（假期少喝酒啊！！！（比心[心秒拍视频
http://m.weibo.com/2460997447/EaGxNytCQ,45490,5830,3326,09月30日 18:04 来自微博 weibo.com,国庆长假要到了！ @张猫要练嘴皮子 带来大型旅游纪录片《十一行》，来预祝祖国母亲生日快乐！港真，看完觉得这个假期还是宅家吧……秒拍视频
http://m.weibo.com/2460997447/EanF3DYik,32187,1905,2455,09月28日 18:00 来自iPhone 6s,忍痛割肾买的iPhone 7，长得和6代几乎一毛一样？让 @正经男大锅锅 8招教你有了肾7如何装逼的套路！！[摊手[摊手秒拍视频
http://m.weibo.com/2460997447/Ea5be5bcE,241488,56454,22841,09月26日 18:57 来自微博 weibo.com,papi酱的周一放送——我待生活如初恋，生活待我如大便。如果你觉得老天爷在针对你，醒醒吧，老天爷在针对我们所有人……尽管生活是那么得操蛋，可还是要保持微笑[微笑（祝你们这个周一&一周愉快（再坚持一下，马上就到国庆了！！秒拍视频
http://m.weibo.com/2460997447/E9N8grOBC,469253,6248,24875,09月24日 21:00 来自iPhone 6s,啊哈哈哈哈今天（照片里）的我依然很美啊！！！（想给修图师加一桶大鸡腿🍗！！！
http://m.weibo.com/2460997447/E9M0wbEWG,42580,3398,2966,09月24日 18:08 来自iPhone 6s,新款的iPhone 7到底有多New Bee呢？ @诸葛齉齉 给你做个真机评测吧！！（请跟我读:呢昂齉！四声哦）话说这么快就能拿到亮黑色7Plus 真是羡慕死我啦！[笑cry[笑cry秒拍视频
http://m.weibo.com/2460997447/E9Cwv0dMG,127970,8781,10086,09月23日 18:00 来自搜狗高速浏览器,papi酱不定期更新的日常——没事儿不要读自己以前的日记...（以前写的东西现在再看，真是不知道自己当时在想些什么…（我2016年的日记本还是没找到，2016年都快过去了呜呜呜呜呜呜呜（被鸡蛋打真的很疼啊……朋友们不要轻易尝试...秒拍视频
http://m.weibo.com/2460997447/E9qRXgG3a,64369,10480,1864,09月22日 12:20 来自微博 weibo.com,#阿崔嘚吧嘚#他走了，因为抑郁症。这件事让我感觉到了生命的脆弱。今天的视频不搞笑也不萌，但还是希望你们能花几分钟看完它……#乔任梁追思会# 秒拍视频
http://m.weibo.com/2460997447/E9jG5CDQl,29328,2648,2289,09月21日 18:01 来自iPhone 6s,见过肥的人都懂的痛！！@大脑门儿 感！觉！自！己！又！胖！了！希望好看的你们都能瘦！！加油[笑cry[笑cry秒拍视频
http://m.weibo.com/2460997447/E90WxdRZt,178996,38802,17704,09月19日 18:19 来自微博 weibo.com,papi酱的周一放送——今天要说的，是我一个朋友的故事。不过，我相信，这位朋友你们或许也认识。愿我们都不会变成自己最讨厌的那种人。（祝各位周一&一周愉快，比心[心 papi酱的秒拍视频
http://m.weibo.com/2460997447/E8yx4inNQ,80604,7943,3192,09月16日 18:00 来自iPhone 6s,讲真，原来女生寝室是这种画风？？爱总结的 @acui阿崔 把室友们分成了这么几类人~~ OMG！感觉自己中枪的请举手（手手手）[耶秒拍视频
http://m.weibo.com/2460997447/E8fGsxoPI,175703,20158,27206,09月14日 18:01 来自微博 weibo.com,papi酱不定期更新的日常——我，一个大写的，不爱吃月饼。却在中秋前夕，被办公室小伙伴拖住，逼我吃、月、饼……好难吃……我要把办公室这群人都炸了……（月饼还是要吃鲜肉的！（五仁意外的蛮好吃！（大家月饼节快乐！比月亮心[心 秒拍视频
http://m.weibo.com/2460997447/E86jIdDM2,27963,3999,1026,09月13日 18:10 来自iPhone 6s,一口接一口的红烧肉，让晚餐更有滋味！来尝尝@美豆爱厨房 的一道普洱红烧肉吧。当红烧肉的肥美遇上普洱的清淡，简直就是秋天的味道！秒拍视频
http://m.weibo.com/2460997447/E7WP0cmxT,292726,86751,26604,09月12日 18:00 来自微博 weibo.com,papi酱的周一放送——生活中总有那么一群人，对什么都不满意。不管你怎么做、做什么，都是错的。今天我想对那些人说：请把你的高标准、严要求，留给你自己。谢谢合作。（祝你们周一&一周愉快啦！（以后我要愉快地穿吊带衫！（结果现在秋天了[微笑  秒拍视频
http://m.weibo.com/2460997447/E7DY1nubo,63259,5345,3139,09月10日 18:00 来自iPhone 6s,终于开学啦！据说，在校园爱情小说里男主都是一水的狂追酷炫帅，而去追求全世界唯一一个不喜欢他的傻白甜女主！@在下杨舒惠 就给你深度解析一下青春小说！[笑cry[笑cry秒拍视频
http://m.weibo.com/2460997447/E7uxvkwUQ,249679,45131,23178,09月09日 18:00 来自微博 weibo.com,papi酱不定期更新的日常——pa老师的教师play。如果学校当年上这种课，我努努力应该可以进哈佛。（提前祝所有老师教师节快乐～周末愉快啦，比心！[心  秒拍视频
http://m.weibo.com/2460997447/E7l8lghZz,57474,5908,6788,09月08日 18:03 来自微博 weibo.com,papi酱的周一放送——大家还记得我前一阵出国去玩了一趟吧？我由此得出了一个经验教训：出国玩，不要让任何人知道（视频内有奈良“可爱的”小鹿）大家周一&一周快乐噜！比心[心秒拍视频
http://m.weibo.com/2460997447/E7bJVdjmH,26903,1357,2156,09月07日 18:08 来自微博 weibo.com,【黑十二星座】系列——专属处女座的“完美”妆容！看得出@赖赖是Zoe 真的很怕给处女座化妆！[哈哈（喂喂！你自己技术不到家吧）（搞搞无恶意，大家开心就好[心）秒拍视频
http://m.weibo.com/2460997447/E6SPvCu3U,166863,44624,28016,09月05日 18:00 来自微博 weibo.com,papi酱的周一放送——大家还记得我前一阵出国去玩了一趟吧？我由此得出了一个经验教训：出国玩，不要让任何人知道（视频内有奈良“可爱的”小鹿）大家周一&一周快乐噜！比心[心秒拍视频
http://m.weibo.com/2460997447/E5YlwtGfN,118152,9450,4521,08月30日 18:12 来自iPhone 6s,青春时代的暗恋开始于一个爽朗的性格，一个酷酷的发型，或者仅仅是一双好看的手[最右为了吸引到男神的注意，心机瑞也是用尽了套路~@LORI阿姨 你的少女时代也太招笑啦！秒拍视频
http://m.weibo.com/2460997447/E5ORcEPoG,251824,52956,30788,08月29日 18:02 来自微博 weibo.com,papi酱的周一放送——从小学一年级到大四毕业16年学生生涯经典语录120句！我就不信这些话你做学生时没说过！祝大家开学愉快喽～好好学习天天向上！学习是无止尽的！学习是令人愉快的！为你们开心！（反正我就这样瘫在沙发上静静地看你们开学，比心️[心周一&一周愉快啦！秒拍视频
http://m.weibo.com/2460997447/E5mEDmzwo,247389,39681,24690,08月26日 18:15 来自微博 weibo.com,papi酱不定期更新的日常——北！京！话！好！难！讲！（小兰儿竟然拿捡的钱买碗！！还打醋！还买盐！！她不是挑着水桶嘛！怎么不打水了！！！气死我了！！！papi酱的秒拍视频
http://m.weibo.com/2460997447/E53HztY0Y,70413,11931,6092,08月24日 18:00 来自iPhone 6s,国内首档大型原创励志专业学术评论节目《中国新论文》开播啦！！下面上场的是学生@大脑门儿 我们的目标是：做全世界最专业的华语论文节目！斥重金请到华语论文界的4大文王文后担任新论文的梦想导师！秒拍视频
http://m.weibo.com/2460997447/E4KYxiCDq,495845,101143,65999,08月22日 18:19 来自360安全浏览器,papi酱的周一放送——英语已经成为现代中国人在日常生活中乐于并熟练运用的一种语言，今天就让我来教一下大家，英语+中文到底有哪些表现形式。（hope看完video之后的you也能像me一样，说一口fluent的Chinese＋英语。（祝你们周一&一周happy，比heart[心 papi酱的秒拍视频
http://m.weibo.com/2460997447/E4ubWbyJf,251431,9880,4034,08月20日 23:36 来自iPhone 6 Plus,谢谢所有球迷和赞助商的支持作为曾经的战士打光最后一颗子弹也是正常的全力以赴直到世界尽头
http://m.weibo.com/2460997447/E3ZJ6bkWC,49011,3357,7066,08月17日 18:02 来自iPhone 6s,papitube 这个夏天用「影评」教你撩~~~看完《微微一笑很倾城》@张猫要练嘴皮子 教你女朋友和玩游戏到底哪个重要？@杰小米脑丝 带你解读《十宗罪，中国版的神奇四侠》以及@一晚周 看完《盗墓笔记》教你下墓来撩汉！秒拍视频
http://m.weibo.com/2460997447/E3GRSDLOC,340115,79926,61800,08月15日 18:02 来自微博 weibo.com,papi酱的周一放送——那些离开了的人啊，我却从来没有忘记过。你呢？你还记得那个已经离开了的人么？（在现在这段时间播放这么一条视频，或许真的是不合时宜。只能是请求你们原谅我的任性吧……（覥着脸还是要祝你们周一&一周愉快！>_<秒拍视频
http://m.weibo.com/2460997447/E3eC6b9Aw,251448,28625,22109,08月12日 18:06 来自微博 weibo.com,papi酱不定期更新的日常——麻将进奥运！我最近在思考一个问题，麻将为什么没有进奥运呢？！对不对？！不分性别，不限年龄，这才是真正的全民运动啊！！强烈呼吁麻将进奥运！！！（本期视频纯属娱乐！！！拒绝黄赌毒！！！（拍的时候笑场笑成狗也是没sei了……（祝你们周末愉快啊！比心！ 全文
http://m.weibo.com/2460997447/E2VLah67Q,54602,2673,3410,08月10日 18:06 来自iPhone 6s,七夕真的没套路！papitube特意邀请了三位情感砖家，来独家传授自己的七夕秘籍你们好好学，说不定就分了呢！《电视剧撩妹/撩汉指南》@在下杨舒惠   《男人的套路》@王辣辣PLUS  《表白都是套路》@张猫要练嘴皮子秒拍视频
http://m.weibo.com/2460997447/E2CRCtNd0,363497,79506,42931,08月08日 18:00 来自微博 weibo.com,papi酱的周一放送之七夕特辑——暧昧中的男人对你说的话VS他实际的意思。凡是不以交往为目的的撩妹，都是犯罪！所以，你们还打算和暧昧的那个人过七夕么？盒盒。[微笑（祝周一&一周愉快噜！秒拍视频
http://m.weibo.com/2460997447/E2rH6jXgR,1485904,94523,61778,08月07日 13:33 来自iPhone 6 Plus,没得金牌又怎样？！银牌、铜牌不也很好了吗？！就算是第四五六七八名又怎样？！他们也足够我们骄傲了好吗？！什么“仅获铜牌“、”痛失金牌”，所有能站上奥运赛场的人都已是佼佼者中的佼佼者，轮不到你们胡说八道！我们中国运动员都是最棒的，牌不牌的无所谓，瞎bb的都狗带！！啊气死我了！！！
http://m.weibo.com/2460997447/E2cbhDZov,77606,2893,4150,08月05日 22:04 来自微博活动,papi酱不定期更新的日常第五弹——我出去玩了！！！最近毕业旅行粗去玩了，我向上帝发誓，我再也不想去那该死的室外了！买礼物给粉丝买了很多，还没来得及给自己买[拜拜 转发本视频＋写上你觉得在室内呆着就能达到旅行目的的地方，就有机会收到我亲！自！购买的礼物嗷！抽两名～秒拍视频
http://m.weibo.com/2460997447/E1RJfkluS,47795,1805,4663,08月03日 18:00 来自iPhone 6s,假期的旅行快乐吗？并没有！《赖赖的出行糙汉子妆容》@赖赖是Zoe软妹子独自旅行，却被各种骚扰那该怎么办？《这样的驴友，还是别旅行了》@大脑门儿直面一火车奇葩啊！《阿宅生存法则》@怪叫少年桃太郎不出门依旧没能躲过这旅行的悲桑。。。秒拍视频
http://m.weibo.com/2460997447/E1Kbt7cr8,384212,13710,29146,08月02日 22:47 来自微博 weibo.com,记一次亲近大自然的经历[微笑[微笑[微笑对此我不想多说什么，只希望大家记住我美丽的面庞。比心！（预警，最后一张图片辣眼睛，但我并不认识那个人，晚安惹[心（不知道哪个幸运的朋友会抽到那张陌生人的照片
http://m.weibo.com/2460997447/E1HG3FK6L,114127,361,4576,08月02日 16:25 来自微博weibo.com,嗷！我旅游回来了！讲真，我这老骨头老腿真的不行了，再不锻炼身体，这辈子都别想出去玩了。看来必须找个人生赢家来练练我了@李小鹏，做我私教可好？ 8月3日晚20:00，上第一堂，直播见！教练，学费就算了吧，要不我也教你几招？（可我该教一个世界冠军什么呢(´･_･`)
http://m.weibo.com/2460997447/E1yVLbvUT,140178,10548,9200,08月01日 18:08 来自微博 weibo.com,papi酱的周一放送——奥运会就要来啦，你不来跟我涨点姿势吗？本期视频为科普向，靴靴。（现在想想，所有运动员能平安就好了，别的都没所谓了……（祝你们周一&一周愉快啦！！秒拍视频
