链接,赞,转发,评论,时间,内容概要
http://m.weibo.com/1241679004/Ek5TSbUxA,880,108,1061,12月01日 15:10?来自iPhone 6,【为什么高校成艾滋病重灾区? 八成源于“好基友” 】圣洁的高校仿佛中了魔咒，特别是近几年，不只是北上广等大城市高校艾滋病情上涨，中部城市一样不容乐观。学校为何成为艾滋病重灾区？艾滋病又是如何入侵象牙塔？?“好基友”、性教育，这些知识你也许需要知道↓↓为什么高校成为艾滋病的重灾区?
http://m.weibo.com/1241679004/Ek4QmlH8D,2238,121,657,12月01日 12:29?来自iPhone 6,#蔡依林巴黎维密秀# @蔡依林 作为全亚洲唯一受邀女明星以Lanvin2017春夏系列 出席巴黎维多利亚的秘密Show#我的偶像蔡依林#
http://m.weibo.com/1241679004/Ek4zCwTmg,793,513,277,12月01日 11:47?来自微博 weibo.com,厉害了word哥！你这强行撩妹的套 路好深。你是不是歧 视台式电脑！哈哈哈哈笑死我了[笑cry][笑cry]妹子，还要什么男朋友[doge]百闻不如一賎的秒拍视频
http://m.weibo.com/1241679004/Ek3nn4Gws,1805,19,303,12月01日 08:44?来自iPhone 6,在冬天多跑一跑，感觉可以自带小火炉[鼓掌][鼓掌]。
http://m.weibo.com/1241679004/EjVcr53Fj,2997,221,1437,11月30日 11:55?来自iPhone 6,他的美貌，让女人也嫉妒[白眼][白眼]
http://m.weibo.com/1241679004/EjU0T4ijD,2283,2808,905,11月30日 08:54?来自iPhone 6,身在美国，找个对象真的很难，最是寂寞女儿心，朋友介绍一本网络小说，我竟然看上瘾！聂天，一个出身底层的小孩，被人瞧不起，靠自己努力一步步成长强大，最终发现自己独一无二，这说的不正是我、你、TA的故事吗？《万域之王》写得太赞了，更赞的是，作者@逆苍天? 竟然是一名帅哥。[色]
http://m.weibo.com/1241679004/EjRVs515N,1725,302,409,11月30日 03:35?来自iPhone 6,戴安娜王妃差点成美国第一夫人[doge][doge]！在戴安娜与查尔斯王子离婚后，纽约房地产商人特朗普对她展开了猛烈的追求，他每天快递几百英镑的玫瑰花到她房间。这些花束在戴安娜的卧室里堆积如山，王妃非常苦恼，请教她的好朋友该怎么办？[失望][失望]，朋友说，把花束全扔垃圾桶[哈哈][哈哈]。面对高冷?全文
http://m.weibo.com/1241679004/EjMlHhMJc,815,70,294,11月29日 13:24?来自微博 weibo.com,毫无人烟的荒岛,一个兵哥哥和七名空姐为了生存将发生怎样的故事?面对六个穷凶极恶的男人,兵哥哥又如何化解!来自七个空姐告白,到底该选哪个好呢?[摊手][摊手][带着微博去旅行] 比贝爷荒野求生更刺激的是,和一群美女流落荒岛……
http://m.weibo.com/1241679004/EjLNPwRDy,2295,28,395,11月29日 12:00?来自iPhone 6,每一家中餐馆都在努力弘扬中华文化，比如我们的国粹“清明上河图”[挤眼][挤眼]
http://m.weibo.com/1241679004/EjJZ2oVsB,2123,78,359,11月29日 07:22?来自iPhone 6,为了防止人们爬上去自拍，安电线的也是拼了[二哈][二哈]
http://m.weibo.com/1241679004/EjI4P2dJR,26816,493,2224,11月29日 02:31?来自iPhone 6,现在一直演老太太的宋丹丹，年轻的时候却是个大美女。我们去翻宋丹丹与赵本山合作的第一部小品《超生游击队》依然能从视频里看出那时的宋丹丹是个美人[污][污]
http://m.weibo.com/1241679004/EjCQa84U6,1779,240,822,11月28日 13:11?来自iPhone 6,【深圳一女孩晕倒后生下女婴 称不知怀孕没和男人接触过[吃惊]】24女孩林某突然晕倒在路边，被送到医院后顺利生下一女婴。令人惊奇的是，她直到进了产房才知道自己怀孕了……而且林某并不知道孩子父亲是谁，她说她既没有男朋友，也没和其他男性接触。目前医院正在寻找林某家属。（深圳新闻网）惊呆了！
http://m.weibo.com/1241679004/EjCnQj8sI,1505,155,626,11月28日 12:01?来自微博 weibo.com,艾草松鸡大约是世界上长相最奇怪的鸡了：它们穿着厚厚的棉袄，胸前还挂着两个大口袋--气囊，那是雄性求偶的工具。它们生活在美国和加拿大的三齿蒿群中，由于栖息地的减少，现在我们已经很少能见到它们了。。。
http://m.weibo.com/1241679004/EjA5attSb,2423,70,657,11月28日 06:10?来自iPhone 6,以前一直对在路边捡白果的人嗤之以鼻，我之前在苏州买过炒白果，味道特别苦。昨天看到一棵白果树长得特别好，就弄了几颗加盐炒熟。又香又糯，实在太好吃了，可惜白果有小毒，一次只能吃几粒。大约这也是它为什么不能大规模推广的原因。[嘘][嘘]
http://m.weibo.com/1241679004/EjyWh3wP4,1810,29,522,11月28日 03:15?来自iPhone 6,看到一段小狗被烧死主人被骂的新闻，想起自己小时候烧烤过的毛毛虫，从田里捉来后剥皮的青蛙，感觉好害怕[失望][失望]
http://m.weibo.com/1241679004/EjyGDeNPw,774,82,180,11月28日 02:37?来自iPhone 6,【壮士手下留情！西湖边小松鼠被喂成胖子了！】在杭州湖滨路上，有几个松鼠喂食点，游客喜欢用长杆串着玉米喂松鼠。有些食物是它没吃过的，就会贪嘴多吃， 吃多了会造成消化不良、脂肪肝等。这样下去，小松鼠要变胖龙猫啦...大家爱护动物，要合理喂食哟！
http://m.weibo.com/1241679004/EjubljT6f,4472,308,534,11月27日 15:09?来自微博 weibo.com,人的尊严是非常重要的东西，而获得尊严的前提，是我们勤奋工作，以及努力生活 。
http://m.weibo.com/1241679004/EjtbQ2Li4,3637,60,904,11月27日 12:37?来自微博 weibo.com,香港演员陈浩民的妻子蒋丽莎五年生四胎，而且四次都是剖腹产，感觉好能干[哈哈][哈哈]
http://m.weibo.com/1241679004/Ejssm9zIZ,3415,61,668,11月27日 10:45?来自iPhone 6,炒藕带，自制油炸臭豆腐[爱你][爱你]，豆腐块买来放冰箱里两礼拜，下锅油炸即成。自从我看到新闻里豆腐摊上的臭豆腐做法以后，我吃的臭豆腐都是自己做了[哼][哼]
http://m.weibo.com/1241679004/Ejr4t6vts,2340,23,696,11月27日 07:13?来自iPhone 6,好多毛毛虫，好阔怕[污][污]
http://m.weibo.com/1241679004/EjqZdtkmk,1767,61,492,11月27日 07:01?来自iPhone 6,超市里有卖藕带罐头，就是不知道买回去揭晓谜底的时候会不会伤心[笑cry][笑cry]。在美国每次买罐头食品都很小心，因为无论是腌姜还是酱黄瓜，打开尝一口味道都可能又酸又甜。更有一次我在布鲁克林买了块超有卖相的烤鱼，回家吃一口不但味道奇怪还放了起司[哼]
http://m.weibo.com/1241679004/EjqDUkxjC,2388,72,308,11月27日 06:08?来自iPhone 6,满园秀色关不住，一群紫花出墙来
http://m.weibo.com/1241679004/EjpWIA27p,2766,94,894,11月27日 04:22?来自iPhone 6,裙子太长了怎么办啊？[可怜][可怜]
http://m.weibo.com/1241679004/Ejkutemmu,3840,57,863,11月26日 14:28?来自iPhone 6,今天坐车出去玩，下车时把我的红围巾丢了[悲伤][悲伤]。虽然它只值五块钱，但是在我的心里它比五千块钱的围巾还贵重[泪][泪]....
http://m.weibo.com/1241679004/EjhUIkTwo,2452,28,457,11月26日 07:55?来自iPhone 6,红籽儿长得很茂盛
http://m.weibo.com/1241679004/EjhtCqptn,3467,112,489,11月26日 06:48?来自iPhone 6,冬天来了，要特别注意防止手脚冰凉，每天一碗桂圆红枣汤，补血暖身减肥....[鼓掌][鼓掌]
http://m.weibo.com/1241679004/Ejh2Ryjae,1480,42,199,11月26日 05:42?来自iPhone 6,居住于华盛顿国家公园动物园的旅美熊猫贝贝成网络红人[兔子][兔子][太阳]
http://m.weibo.com/1241679004/EjbkO2zcO,2140,130,1118,11月25日 15:10?来自iPhone 6,女子为变美整容百余次切除六根肋骨[嘘][嘘]
http://m.weibo.com/1241679004/Ej9I3E48h,1532,17,477,11月25日 11:02?来自iPhone 6,明天是黑色星期五吗？有没有同学去买便宜货？
http://m.weibo.com/1241679004/Ej6QhsZQs,1098,597,324,11月25日 03:44?来自iPhone 6,给女朋友第一次做饭，懵了[二哈]神奇动物在哪里？在视频里啊。可是这画面怎么和电视里演的不一样啊[摊手][摊手]幸好我还没有男朋友，贵宾[doge] 强大 秒拍视频
http://m.weibo.com/1241679004/Ej6affsRU,1942,48,458,11月25日 02:00?来自iPhone 6,天冷了，狮子也要戴红帽子取暖[太阳][太阳]
http://m.weibo.com/1241679004/Ej1Zz6pp2,816,159,262,11月24日 15:23?来自微博 weibo.com,头条文章：《低调的亿万富豪罗姆尼》 他是马萨诸塞州的州长，公司老板，CEO，2002年冬季奥运会主席，2012年共和党总统候选人，他拥有2亿美元财富。然而他经常买打折商品，他开着破烂的汽车，他去麦当劳买廉价的炸鸡和薯条，这就是米特.罗姆尼[太开心][太开心] 低调的亿万富豪罗姆尼
http://m.weibo.com/1241679004/EiY9LvUdD,2145,68,760,11月24日 05:37?来自微博 weibo.com,把那天看到的冬寒菜弄了一点儿回家吃，味道跟记忆中的一模一样，甚至更加鲜嫩。原来美国是冬寒菜的原产地，英文名叫mallow,不过美国人大都用它来拌沙拉吃，一看就是不会享受美食[哈哈][哈哈]
http://m.weibo.com/1241679004/EiR523vN3,1411,93,476,11月23日 11:36?来自iPhone 6,明星川普在纽约时报总部，附图二为纽约时报为欢迎川普而准备的美食，让我们看看美国总统都吃些什么吧[舔屏][舔屏]
http://m.weibo.com/1241679004/EiPuVAR8E,3371,56,959,11月23日 07:34?来自iPhone 6,钟丽缇婚后身材好，如二八少女[哆啦A梦花心]
http://m.weibo.com/1241679004/EiP9D4jts,9361,285,2460,11月23日 06:42?来自iPhone 6,昨天出门买了件超大的滑雪衫，还只有L号的，我平时都穿S号，可是外面有点冷，太远的地方不想去。听说美图秀秀出新书了还拿我做了模版，很多人叫我索赔，但我并未理会，只要我的牺牲能带来大众更加美好的生活，那就是我的荣幸！！所以我想说：大家开心就好[爱你][爱你]
http://m.weibo.com/1241679004/EiNEB2AMM,21389,1999,3165,11月23日 02:53?来自微博 weibo.com,一直不能理解为什么中国的女性会那么痛恨小三，而且特别害怕男人出轨。我在美国认识的女性差不多对离婚都比较干脆，而且她们对谁是小三也并不关心。我感觉到女性的安全感应该是来源于自己的能力以及收入，而不是男性对婚姻的忠诚。
http://m.weibo.com/1241679004/EiIQ1CdfL,1270,59,310,11月22日 14:37?来自微博 weibo.com,在“不听话”的情况下，美国的新闻媒体极有可能被当选总统特朗普“抛弃”，转而被社交媒体取代。到时候CNN，纽约时报这些媒体不知道是该笑还是该哭。。[笑cry][笑cry]
http://m.weibo.com/1241679004/EiGYHmYZl,2390,157,519,11月22日 09:53?来自iPhone 6,美丽的爱荷华州风光，有没有心向往之？[爱你][爱你]
http://m.weibo.com/1241679004/EiGVsnTRZ,3220,112,2457,11月22日 09:45?来自iPhone 6,日本今天出现7.3级地震，让我们为日本祈祷吧！！[带着微博去旅行][带着微博去旅行]
http://m.weibo.com/1241679004/EiG3BBIqM,1192,28,303,11月22日 07:32?来自iPhone 6,AT&T 公司收购时代华纳有望，主动送我2GB的流量[鼓掌][鼓掌]。美国CNN电视台属于时代华纳公司旗下产业。
http://m.weibo.com/1241679004/EiCKcydtL,910,47,360,11月21日 23:06?来自iPhone 6,【奥巴马：有责认迫使特朗普调整他在竞选期间的极端立场】按照惯例，美国前总统一般会远离政治争论，并避免对其继任者发表评论。奥巴马参加秘鲁APEC时表示，他但在卸任之后，他仍将作为一个公民，在一些问题上发声。他打算协助特朗普，并给特朗普时间做好远景规划。他尊重特朗普，并希望给特朗普阐述其?全文
http://m.weibo.com/1241679004/EixCcmGx1,1105,100,392,11月21日 10:03?来自微博 weibo.com,大学毕业后,小浩（化名）经人介绍结识大十二岁的少妇李某。女方承诺给20万彩礼,只要小浩愿做上门女婿。谁知婚后没几天李某便出轨,小三还不是男人!Ps：姐只能说软饭不好吃。[鄙视][鄙视] 只为20万,某校大四男生甘被三十岁少妇包养,还跪下为她……
http://m.weibo.com/1241679004/EiwWTmE4e,1654,265,690,11月21日 08:21?来自iPhone 6,全球贸易自由化导致全球资本流向人力成本更低的发展中国家。它导致资本输出国工人失业，而资本输入国的“竞争优势”仅仅在于它们更加低廉的劳动力，对国民生活没有改善。这中间的秘密在于：全球贸易自由化使资本家最大程度获取利润，使各国政府获得最大利益，这些利益被他们装入怀中，而不是与国民共享?全文
http://m.weibo.com/1241679004/EipQs3f69,1650,113,563,11月20日 14:16?来自微博 weibo.com,川普当选总统后，其名下产业：川普国际饭店生意火爆。通过全球最大预定网站booking.com查询得知，位于华盛顿特区距白宫仅一街之遥的川普国际饭店最便宜的房间价格为3926元人民币，最贵的房间价格为12597元人民币，躺床上一晚上就睡掉一个月工资，想想还真有点舍不得[笑cry][笑cry]
http://m.weibo.com/1241679004/Eipw4ynJA,2112,38,459,11月20日 13:26?来自iPhone 6,喷香水还是要在身着高级服装，化着精致妆容的情况下，否则效果适得其反，喷多了，反而让人厌恶。刚才发现香奈儿的促销员竟然在包里赠送了一瓶迷你版香水给我，我往脖子上喷了喷，接着又去剥柚子，弄得身上怪怪的????
http://m.weibo.com/1241679004/EioaUbWYl,2819,29,494,11月20日 10:01?来自iPhone 6,吃越南菜[鼓掌][鼓掌]，他们的很多菜品与中国菜相似而又别具风味
http://m.weibo.com/1241679004/Eio8Tc5GH,1866,18,538,11月20日 09:56?来自iPhone 6,这是野生的冬寒菜吗？
http://m.weibo.com/1241679004/EimJ9dRHU,2790,418,1039,11月20日 06:20?来自iPhone 6,罗姆尼飞来纽约见川普 在机场独自一人排队等出租
http://m.weibo.com/1241679004/EilWgFhpL,2617,77,1096,11月20日 04:19?来自iPhone 6,豌豆炒莲藕
http://m.weibo.com/1241679004/EilHPh9u9,2464,64,311,11月20日 03:44?来自iPhone 6,今天是世界厕所日，祝大家节日快乐
http://m.weibo.com/1241679004/EilrorSR4,6371,295,4605,11月20日 03:03?来自iPhone 6,《我不是潘金莲》名字就取得雷人，先是在华中师大闹了一出，又是在万达闹了一出。这样的导演，这样的演员，啧啧啧。我没说范某，我说的是冯某。
http://m.weibo.com/1241679004/EijEc3MHR,1974,125,916,11月19日 22:29?来自iPhone 6,@冯小刚 冯大导演，麻烦你说话别那么阴阳怪气的，听着恶心。本来两家私企的恩怨应该是两家公司的事情，怎就因为你是大导演就能煽动网络群众和舆论来喷我们了？咱就事论事，只准华谊挖我们有敬业协议在身的高管，不准我们有任何不悦？只准你们排片挤走别人，不允许我们对你片的不看好而降低排片？讲道?全文
http://m.weibo.com/1241679004/EifkA8rOB,1760,50,430,11月19日 11:30?来自iPhone 6,终于有好莱坞明星支持特朗普修长城了[鼓掌][鼓掌]，他就是金·卡戴珊的老公砍耶韦斯特！！
http://m.weibo.com/1241679004/Ei8LBuLbj,1029,68,355,11月18日 18:47?来自iPhone 6,潘金莲致王健林先生的一封信尊敬的王主席健林：?????? 小女子金莲，久闻主席丰功伟业，在您的宏观指导下，万达集团全球产业链之大格局、大视野、大胸怀，有目共睹；不仅在商业地产领域成绩斐然，单就影视制作发行行业，除在国内形成垄断，买下好莱坞也指日可待。在此高歌猛进、摧枯拉朽之际，有一小?全文
http://m.weibo.com/1241679004/Ei8Kh2DUy,3516,275,1912,11月18日 18:44?来自iPhone 6,#谢杏芳回应#：知错会改 风雨同舟！马伊琍plus[摊手]
http://m.weibo.com/1241679004/Ei6Sv00x3,1054,83,242,11月18日 13:59?来自微博搜索,【美国男子跌强酸温泉遭溶解尸骨无存[衰]】6月，美国一男子违规跑进黄石公园非开放区泡“野温泉”，结果不慎滑进“热汤”。园区水温最高超95度、酸度很高，搜救人员看到池中的遗体。因天气恶劣决定第二天再打捞。但第二天却什么都没找到，园方判定尸体已被高温溶解。美国男子跌入强酸温泉遭溶解尸骨无存 落水过程被全程拍摄
http://m.weibo.com/1241679004/Ei5NFzIC0,1337,131,650,11月18日 11:14?来自iPhone 6,日本首相安倍晋三进京见总统，获川普大厦接见。
http://m.weibo.com/1241679004/Ei4WlkbXU,3108,64,995,11月18日 09:03?来自iPhone 6,低调的炫富[鼓掌][鼓掌]，这牌子看着高大上，其实总共就两百块钱。导购员热情万分的向我介绍他们的香水，但是我这土农民用不上，就低调的拒绝了...
http://m.weibo.com/1241679004/Ei4pbgL8q,1409,162,698,11月18日 07:41?来自iPhone 6,吸鳅，俗称石爬子，它们广泛分布于长江中上游的四川、贵州、云南等地。它们生活在水质清洁的溪流或山涧中，平时就用腹部的吸盘趴在河底石头上一动不动。它个头娇小，对水质和环境要求严格，人工无法饲养。原本每次网鱼都能捞上几条的吸鳅鱼既然要卖3000人民币一斤，因为人家已经是珍稀保护动物了...?全文
http://m.weibo.com/1241679004/Ei377kDBb,1689,52,453,11月18日 04:24?来自iPhone 6,公鸡打鸣是他们向别人宣布自己的“领土主权”的一种方式，公鸡一般在天亮前两小时开始打鸣。
http://m.weibo.com/1241679004/Ei1LCyltx,2271,136,660,11月18日 00:58?来自iPhone 6,希拉里败选后面容老十岁，败选当天嚎啕大哭。
http://m.weibo.com/1241679004/EhXOgBB00,1729,53,515,11月17日 14:54?来自iPhone 6,黑米是补肾佳品，但是这个东西又硬又不好吃，还刮油，只适合煮粥喝[白眼][白眼]
http://m.weibo.com/1241679004/EhWvEpohr,,300,4500,11月17日 11:35?来自iPhone 6,让大家失望了[脸红][脸红]
http://m.weibo.com/1241679004/EhNwO1E9d,3436,92,1188,11月16日 12:43?来自iPhone 6,一些明星看看快被忘记了，就赶紧出来炒作一番。避谣啊，谴责啊，无辜躺枪啊。老实说她们自己不说都没人知道这些事，真讨厌...[斜眼][斜眼]
http://m.weibo.com/1241679004/EhNkUb1Ja,4212,58,1141,11月16日 12:14?来自iPhone 6,自己做的糖醋里脊，对颜色不满意，应该是酱油没弄好...
http://m.weibo.com/1241679004/EhMGWaZQb,15013,179,4044,11月16日 10:35?来自iPhone 6,杨幂刘恺威传婚变，紧捂胸口防走光...
http://m.weibo.com/1241679004/EhM1lmLm7,5119,242,2120,11月16日 08:53?来自iPhone 6,开开心心逛公园，被个猥亵男人跟踪，跑了几条街才甩掉，讨厌
http://m.weibo.com/1241679004/EhJu5mvxD,3328,64,395,11月16日 02:25?来自iPhone 6,生活中不是缺少美，而是缺少发现美的眼睛...
http://m.weibo.com/1241679004/EhJtDxjhp,1518,19,179,11月16日 02:24?来自iPhone 6,马兰头就是大名鼎鼎的鱼鳅串
http://m.weibo.com/1241679004/EhDojsu2I,1309,23,249,11月15日 10:55?来自微博 weibo.com,这个马兰头和西洋菜不就是我们常见的猪草么？[挖鼻][挖鼻]，以后做饭都不用买菜，直接往山上跑一趟就行[偷笑][偷笑]
http://m.weibo.com/1241679004/EhDl279wR,859,77,311,11月15日 10:47?来自微博 weibo.com,发布了头条文章：《20岁工厂小妹口述：来帝都打工被同村女孩介绍做野模，陪土豪一夜入手十五万》[吃惊][吃惊] 20岁工厂小妹口述：来帝都打工被同村女孩介绍做野模，陪土豪一夜
http://m.weibo.com/1241679004/EhBOoh0nn,2283,101,1062,11月15日 06:53?来自微博 weibo.com,今天被一个微信群给踢出来了，本来这个事情也没必要写出来。不过昨天本来聊得挺开心的，今天就莫名其妙被踢出来了。自己都不知道怎么回事，很少有人那么“不礼貌”的跟我说话了，先是说“联系某某某”我还没反应过来，然后就是“某某某”踢人，然后就是给你面子，自己退出吧，然后我就被拉黑了。感觉很?全文
